name,first_name,last_name,original_title,department,area,university,email,rank
Allan Afuah,Allan,Afuah,Professor of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Professor
Hyun-Soo Ahn,Hyun-Soo,Ahn,Professor of Technology and OperationsRobert P. Thome Professor of Business Administrationview additional titles,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Professor
Cheri Alexander,Cheri,Alexander,Lecturer of Management and Organizations,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Lecturer
Samuel Anderson,Samuel,Anderson,Assistant Professor of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Assistant
Amy Angell,Amy,Angell,Lecturer of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Lecturer
Ravi Anupindi,Ravi,Anupindi,Colonel William G. and Ann C. Svetlich Professor of Operations Research and ManagementProfessor of Technology & Operationsview additional titles,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Professor
Anocha Aribarg,Anocha,Aribarg,Professor of MarketingArea Chair of Marketingview additional titles,Marketing,Marketing,University of Michigan (Ross School of Business),,Professor
Daphne Armstrong,Daphne,Armstrong,Assistant Professor,Accounting,Accounting,University of Michigan (Ross School of Business),,Assistant
Sue Ashford,Sue,Ashford,Michael & Susan Jandernoa Professor of Management and Organizations,Management and Organizations,Management Organizations (Org. Behavior),University of Michigan (Ross School of Business),,Professor
Kate Astashkina,Kate,Astashkina,Assistant Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Assistant
Neroli Austin,Neroli,Austin,Assistant Professor of Finance,Finance,Finance,University of Michigan (Ross School of Business),,Assistant
Lennart Baardman,Lennart,Baardman,Assistant Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Assistant
Jean-Paul Baldwin,Jean-Paul,Baldwin,Lecturer of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Lecturer
Ryan T Ball,Ryan,Ball,Clinical Assistant Professor of Accounting,Accounting,Accounting,University of Michigan (Ross School of Business),,Clinical Professor
Akshina Banerjee,Akshina,Banerjee,Assistant Professor of Marketing,Marketing,Marketing,University of Michigan (Ross School of Business),,Assistant
Snehal Banerjee,Snehal,Banerjee,Area Chair of FinanceProfessor of FinanceMichael R. and Mary Kay Hallman Faculty Fellowview additional titles,Finance,Finance,University of Michigan (Ross School of Business),,Professor
Mike Barger,Mike,Barger,Clinical Assistant Professor of Business AdministrationArea Chair of Business Administrationview additional titles,,,University of Michigan (Ross School of Business),,Clinical Professor
Christie Barrett,Christie,Barrett,Lecturer of Strategy,Strategy,Strategy,University of Michigan (Ross School of Business),,Lecturer
Mehmet Begen,Mehmet,Begen,Adjunct Professor of Technology and Operations,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Adjunct
Damian Beil,Damian,Beil,Professor of Technology and OperationsFord Motor Company Co-Director of the Joel Tauber Institute for Global Operationsview additional titles,Technology and Operations,Production and Operations,University of Michigan (Ross School of Business),,Professor
