scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
,Erick O. Bell,Erick,Bell,Professional Faculty,Accounting,Accounting,University of California at Berkeley,,Lecturer
,John Briginshaw,John,Briginshaw,Professional Faculty,Accounting,Accounting,University of California at Berkeley,,Lecturer
,Rada Brooks,Rada,Brooks,Continuing Professional Faculty,Accounting,Accounting,University of California at Berkeley,,Lecturer
,Veselina Dinova,Veselina,Dinova,Continuing Professional Faculty,Accounting,Accounting,University of California at Berkeley,,Lecturer
7402667272,Sunil Dutta,Sunil,Dutta,Professor,Accounting,Accounting,University of California at Berkeley,,Professor
57195148892,Omri Even-Tov,Omri,Even-Tov,Associate Professor,Accounting,Accounting,University of California at Berkeley,,Associate
,Lincoln Fleming,Lincoln,Fleming,Professional Faculty,"Accounting, Finance","Accounting, Finance",University of California at Berkeley,,Lecturer
,Nils H. Hakansson,Nils,Hakansson,Professor Emeritus,"Accounting, Finance","Accounting, Finance",University of California at Berkeley,,Emeritus
59547687500,Shawn Kim,Shawn,Kim,Assistant Professor,Accounting,Accounting,University of California at Berkeley,,Assistant
36990109100,Yaniv Konchitchki,Yaniv,Konchitchki,Tenured Associate Professor,Accounting,Accounting,University of California at Berkeley,,Associate
53985113200,Panos N. Patatoukas,Panos,Patatoukas,Professor,Accounting,Accounting,University of California at Berkeley,,Professor
,Jay Patel,Jay,Patel,Professional Faculty,Accounting,Accounting,University of California at Berkeley,,Lecturer
,Tanya Paul,Tanya,Paul,Assistant Professor,Accounting,Accounting,University of California at Berkeley,,Assistant
,Tiffany Rasmussen,Tiffany,Rasmussen,Continuing Professional Faculty,Accounting,Accounting,University of California at Berkeley,,Lecturer
58421927000,Xi Wu,Xi,Wu,Assistant Professor,Accounting,Accounting,University of California at Berkeley,,Assistant
60026760200,Biwen Zhang,Biwen,Zhang,Assistant Professor,Accounting,Accounting,University of California at Berkeley,,Assistant
57219528663,Valerie Zhang,Valerie,Zhang,Assistant Professor,Accounting,Accounting,University of California at Berkeley,,Assistant
8518726700,Xiao-Jun Zhang,Xiao-Jun,Zhang,Professor,Accounting,Accounting,University of California at Berkeley,,Professor
35837734600,Vinod K Aggarwal,Vinod,Aggarwal,Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Professor
24281217000,Matilde Bombardini,Matilde,Bombardini,Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Ernesto Dal Bó,Ernesto,Bó,Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Rui de Figueiredo,Rui,Figueiredo,Professor Emeritus,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Emeritus
,Diane Dwyer,Diane,Dwyer,Professional Faculty,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
,Edwin M. Epstein,Edwin,Epstein,Professor Emeritus,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Emeritus
,Frederico Finan,Frederico,Finan,Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Jo Giessler,Jo,Giessler,Professional Faculty,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
,Olaf J. Groth,Olaf,Groth,Professional Faculty,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
,David Evan Harris,David,Harris,Continuing Professional Faculty,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
7401691878,Ann E. Harrison,Ann,Harrison,Professor,"Business & Public Policy, Economic Analysis & Policy",Business Econ and Policy,University of California at Berkeley,,Professor
,Dan Himelstein,Dan,Himelstein,Continuing Professional Faculty,"Business & Public Policy, Entrepreneurship & Innovation","Business Econ and Policy, Entrepreneurship",University of California at Berkeley,,Lecturer
15131710900,B. Kelsey Jack,B.,Jack,Associate Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Associate
55044121600,Samuel Kapon,Samuel,Kapon,Assistant Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Assistant
,Adam Leipzig,Adam,Leipzig,Professional Faculty,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
,Terry A. Marsh,Terry,Marsh,Professor Emeritus,"Business & Public Policy, Finance","Business Econ and Policy, Finance",University of California at Berkeley,,Emeritus
,Jon Metzler,Jon,Metzler,Continuing Professional Faculty,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
,Mina Mirazimi,Mina,Mirazimi,Professional Faculty,"Business & Public Policy, Economic Analysis & Policy",Business Econ and Policy,University of California at Berkeley,,Lecturer
,David C. Mowery,David,Mowery,Professor Emeritus,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Emeritus
,Sharat Raghavan,Sharat,Raghavan,Professional Faculty,"Business & Public Policy, Entrepreneurship & Innovation","Business Econ and Policy, Entrepreneurship",University of California at Berkeley,,Lecturer
,Alan Ross,Alan,Ross,Continuing Professional Faculty,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
,Julia Schaletzky,Julia,Schaletzky,Professional Faculty,"Business & Public Policy, Economic Analysis & Policy, Entrepreneurship & Innovation, Management of Organizations","Business Econ and Policy, Entrepreneurship, Management Organizations (Org. Behavior)",University of California at Berkeley,,Lecturer
,Shalini Sharp,Shalini,Sharp,Professional Faculty,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
57217068708,Cailin Ryan Slattery,Cailin,Slattery,Assistant Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Assistant
,Pablo T. Spiller,Pablo,Spiller,Professor Emeritus,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Emeritus
57203059758,Steven Tadelis,Steven,Tadelis,Professor,"Business & Public Policy, Economic Analysis & Policy",Business Econ and Policy,University of California at Berkeley,,Professor
6701775408,David J. Teece,David,Teece,Professor of the Graduate School,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Professor
6507077872,Francesco Trebbi,Francesco,Trebbi,Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Molly Turner,Molly,Turner,Professional Faculty,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
59100614900,Laura D. Tyson,Laura,Tyson,Distinguished Professor of the Graduate School,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,M. Frances Van Loo,M.,Loo,Professor Emeritus,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Emeritus
,Roopesh Varier,Roopesh,Varier,Professional Faculty,"Business & Public Policy, Operations & IT Management","Business Econ and Policy, Operations & Technology",University of California at Berkeley,,Lecturer
,David J. Vogel,David,Vogel,Professor Emeritus,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Emeritus
56324943300,Reed Walker,Reed,Walker,Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Professor
45961572800,Jonathan Weigel,Jonathan,Weigel,Assistant Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Assistant
55317697700,Guo Xu,Guo,Xu,Associate Professor,Business & Public Policy,Business Econ and Policy,University of California at Berkeley,,Associate
,Mario Alvarez,Mario,Alvarez,Professional Faculty,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
56222444500,Ned Augenblick,Ned,Augenblick,Associate Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Associate
56387266700,Matthew Backus,Matthew,Backus,Associate Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Associate
57209218341,Martin Beraja,Martin,Beraja,Associate Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Associate
7004593708,Severin Borenstein,Severin,Borenstein,Professor of the Graduate School,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
57195209440,Sydnee Caldwell,Sydnee,Caldwell,Assistant Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Assistant
,Maria Carkovic,Maria,Carkovic,Professional Faculty,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
60107916900,David Chan,David,Chan,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Kunal Cholera,Kunal,Cholera,Professional Faculty,"Economic Analysis & Policy, Operations & IT Management","Business Econ and Policy, Operations & Technology",University of California at Berkeley,,Lecturer
8318412700,Lucas W. Davis,Lucas,Davis,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
23391949900,Stefano DellaVigna,Stefano,DellaVigna,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Flavio Feferman,Flavio,Feferman,Continuing Professional Faculty,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
,Todd Fitch,Todd,Fitch,Continuing Professional Faculty,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
7003626422,Paul J. Gertler,Paul,Gertler,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
6505868404,Pierre-Olivier Gourinchas,Pierre-Olivier,Gourinchas,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Donald Hanna,Donald,Hanna,Professional Faculty,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
,Robert G. Harris,Robert,Harris,Professor Emeritus,"Economic Analysis & Policy, Entrepreneurship & Innovation","Business Econ and Policy, Entrepreneurship",University of California at Berkeley,,Emeritus
6602431067,Benjamin E. Hermalin,Benjamin,Hermalin,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Michael Katz,Michael,Katz,Professor Emeritus,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Emeritus
26423769900,Jonathan Kolstad,Jonathan,Kolstad,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Gregory LaBlanc,Gregory,LaBlanc,Continuing Professional Faculty,"Economic Analysis & Policy, Finance","Business Econ and Policy, Finance",University of California at Berkeley,,Lecturer
,Jonathan S. Leonard,Jonathan,Leonard,Professor Emeritus,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Emeritus
7403166229,David I. Levine,David,Levine,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
,Ross Levine,Ross,Levine,Professor Emeritus,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Emeritus
,Alex Luce,Alex,Luce,Professional Faculty,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
35496364300,Richard K. Lyons,Richard,Lyons,Chancellor | Professor,"Economic Analysis & Policy, Finance","Business Econ and Policy, Finance",University of California at Berkeley,,Professor
36803875800,Alexandre Mas,Alexandre,Mas,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
56321522700,Conrad Miller,Conrad,Miller,Associate Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Associate
,Ryan Oprea,Ryan,Oprea,Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Professor
57207138337,Gautam Rao,Gautam,Rao,Associate Professor,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Associate
,Matt Rogers,Matt,Rogers,Professional Faculty,Economic Analysis & Policy,Business Econ and Policy,University of California at Berkeley,,Lecturer
