scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
,Jeremiah Contreras,Jeremiah,Contreras,Kala and Shiv Khatri Endowed Faculty Scholar • Associate Teaching Professor • Faculty Director for Digital Innovation for Teaching & Learning,Accounting,Accounting,University of Colorado at Boulder,,Teaching Professor
6508047370,Yonca Ertimur,Yonca,Ertimur,Tandean Rustandy Esteemed Endowed Professor • Professor • Chair of the Accounting Division,Accounting,Accounting,University of Colorado at Boulder,,Professor
,Jane Garrard,Jane,Garrard,Assistant Teaching Professor,Accounting,Accounting,University of Colorado at Boulder,,Teaching Professor
59911632500,Laura Griffin,Laura,Griffin,Stone Family Faculty Scholar • Assistant Professor,Accounting,Accounting,University of Colorado at Boulder,,Assistant
,Christine Kuglin,Christine,Kuglin,Assistant Teaching Professor,Accounting,Accounting,University of Colorado at Boulder,,Teaching Professor
57193992257,Henry Laurion,Henry,Laurion,JRN Faculty Scholar/Dean's Faculty Scholar • Assistant Professor,Accounting,Accounting,University of Colorado at Boulder,,Assistant
,Nicole Lazzeri,Nicole,Lazzeri,Assistant Teaching Professor,Accounting,Accounting,University of Colorado at Boulder,,Teaching Professor
57189350889,Nathan Marshall,Nathan,Marshall,Myrtle and Tony Tisone Estate Memorial Business Fellow • Associate Professor • Accounting PhD Program Co-Director,Accounting,Accounting,University of Colorado at Boulder,,Associate
,Christopher (Kit) Maxwell,Christopher,Maxwell,Assistant Teaching Professor,Accounting,Accounting,University of Colorado at Boulder,,Teaching Professor
57225973545,Austin Moss,Austin,Moss,Peterson Faculty Scholars Award/Dean’s Faculty Scholar • Assistant Professor,Accounting,Accounting,University of Colorado at Boulder,,Assistant
,Joshua Neil,Joshua,Neil,Teaching Professor • Faculty Director of the MS Accounting and Taxation Programs,Accounting,Accounting,University of Colorado at Boulder,,Teaching Professor
,Erik Olson,Erik,Olson,Assistant Professor,Accounting,Accounting,University of Colorado at Boulder,,Assistant
,Kirsten Ortez,Kirsten,Ortez,Assistant Teaching Professor,Accounting,Accounting,University of Colorado at Boulder,,Teaching Professor
,Richard Parker,Richard,Parker,Assistant Teaching Professor,Accounting,Accounting,University of Colorado at Boulder,,Teaching Professor
57226170138,Andrea Pawliczek,Andrea,Pawliczek,KPMG Faculty Fellow • Assistant Professor,Accounting,Accounting,University of Colorado at Boulder,,Assistant
,Denise Probert,Denise,Probert,Associate Teaching Professor,Accounting,Accounting,University of Colorado at Boulder,,Teaching Professor
35945262200,Steve Rock,Steve,Rock,Associate Professor • Chair of the Professional Effectiveness Division,"Accounting, Professional Effectiveness","Accounting, Business Communication",University of Colorado at Boulder,,Associate
15731617300,Jonathan Rogers,Jonathan,Rogers,Professor,Accounting,Accounting,University of Colorado at Boulder,,Professor
57213197271,Bryce Schonberger,Bryce,Schonberger,EKS&H Plante Moran-Dave Steiner Accounting Fellow • Assistant Professor • Accounting PhD Program Co-Director,Accounting,Accounting,University of Colorado at Boulder,,Assistant
58017690500,Nikki Skinner,Nikki,Skinner,KPMG Accounting Faculty Fellow • Associate Professor,Accounting,Accounting,University of Colorado at Boulder,,Associate
