scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
56419573500,Salman Arif,Salman,Arif,Associate Professor; Curtis L Carlson Professorship,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Associate
,Frank Beil,Frank,Beil,Senior Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Senior Lecturer
,Xiao Cen,Xiao,Cen,Assistant Professor,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Assistant
,Roger Conlon,Roger,Conlon,Senior Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Senior Lecturer
,Gordon Duke,Gordon,Duke,Associate Professor,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Associate
,Clayton Forester,Clayton,Forester,MAcc Director and Senior Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Senior Lecturer
6603367675,Frank Gigler,Frank,Gigler,"Professor, Curtis L Carlson Chair in Accounting",Accounting,Accounting,University of Minnesota (Carlson School of Management),,Professor
57222272828,John C. Heater,John,Heater,Assistant Professor,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Assistant
,David Horn,David,Horn,MBT Director and Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Lecturer
57192374410,Michael Iselin,Michael,Iselin,Associate Professor; Accounting Research Center Professorship,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Associate
57201693778,Scott Johnson,Scott,Johnson,Senior Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Senior Lecturer
6506823158,Chandra Kanodia,Chandra,Kanodia,"Professor, Arthur Andersen & Co./Kullberg Chair in Accounting and Information Systems",Accounting,Accounting,University of Minnesota (Carlson School of Management),,Professor
,Jack Kramer,Jack,Kramer,Senior Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Senior Lecturer
55540564000,Nan Li,Nan,Li,Assistant Professor,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Assistant
57193275234,Joshua Madsen,Joshua,Madsen,Associate Professor,"Accounting, Marketing","Accounting, Marketing",University of Minnesota (Carlson School of Management),,Associate
,Tammy Naples,Tammy,Naples,Senior Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Senior Lecturer
,Kendell Poch,Kendell,Poch,Senior Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Senior Lecturer
,Samantha Pugliese,Samantha,Pugliese,Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Lecturer
7003892223,Judy Rayburn,Judy,Rayburn,Professor,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Professor
6701810436,Pervin Shroff,Pervin,Shroff,"Frederick H. Grose Chair, Accounting Dept. Chair",Accounting,Accounting,University of Minnesota (Carlson School of Management),,Professor
59213246100,Shuyan Wang,Shuyan,Wang,Assistant Professor,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Assistant
,Paul White,Paul,White,Senior Lecturer,Accounting,Accounting,University of Minnesota (Carlson School of Management),,Senior Lecturer
59318601800,Haiwen (Helen) Zhang,Haiwen,Zhang,"Carl L. Nelson Professor of Accounting, Accounting Department Chair",Accounting,Accounting,University of Minnesota (Carlson School of Management),,Professor
7401920474,Gordon Alexander,Gordon,Alexander,Emeritus Professor,Finance,Finance,University of Minnesota (Carlson School of Management),,Emeritus
57225155152,Jacelly Cespedes,Jacelly,Cespedes,Assistant Professor,Finance,Finance,University of Minnesota (Carlson School of Management),,Assistant
7402459893,Murray Z Frank,Murray,Frank,Professor,Finance,Finance,University of Minnesota (Carlson School of Management),,Professor
7403010545,Robert Goldstein,Robert,Goldstein,Professor,Finance,Finance,University of Minnesota (Carlson School of Management),,Professor
,Zhenhu Jin,Zhenhu,Jin,Senior Lecturer,Finance,Finance,University of Minnesota (Carlson School of Management),,Senior Lecturer
11940681600,Pinar Karaca Mandic,Pinar,Mandic,"Distinguished McKnight University Professor, and C. Arthur Williams Jr. Professor in Healthcare Risk Management",Finance,Finance,University of Minnesota (Carlson School of Management),,Professor
,Ralf Don Keysser,Ralf,Keysser,Senior Lecturer,Finance,Finance,University of Minnesota (Carlson School of Management),,Senior Lecturer
,Lisa Kline,Lisa,Kline,Senior Lecturer,Finance,Finance,University of Minnesota (Carlson School of Management),,Senior Lecturer
,Thanh Le,Thanh,Le,Senior Lecturer,Finance,Finance,University of Minnesota (Carlson School of Management),,Senior Lecturer
55571491200,Xiaoji Lin,Xiaoji,Lin,Arthur Upgren Chair in Investment Management,Finance,Finance,University of Minnesota (Carlson School of Management),,Professor
57192932031,Erik Loualiche,Erik,Loualiche,Associate Professor,Finance,Finance,University of Minnesota (Carlson School of Management),,Associate
7005144980,John Molloy,John,Molloy,Senior Lecturer,Finance,Finance,University of Minnesota (Carlson School of Management),,Senior Lecturer
,Helen Moser,Helen,Moser,Senior Lecturer,Finance,Finance,University of Minnesota (Carlson School of Management),,Senior Lecturer
56914910300,Timothy Nantell,Timothy,Nantell,Professor,Finance,Finance,University of Minnesota (Carlson School of Management),,Professor
