scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
23391932600,Edo Airoldi,Edo,Airoldi,Chair | Millard E. Gladfelter Professor,"Statistics, Operations, and Data Science","Business Analytics, Decision Science and Stats",Temple University,,Professor
7403059768,Lynne M. Andersson,Lynne,Andersson,Associate Professor,Management,Management Organizations (Org. Behavior),Temple University,,Associate
,Cindy Axelrod,Cindy,Axelrod,Associate Professor of Practice,Finance,Finance,Temple University,,Professor of Practice
55904213300,Sezgin Ayabakan,Sezgin,Ayabakan,Associate Professor,Management Information Systems,Information Systems,Temple University,,Associate
55446940800,Xue Bai,Xue,Bai,Professor | Stauffer Senior Research Fellow,"Statistics, Operations, and Data Science","Business Analytics, Decision Science and Stats",Temple University,,Professor
57188583289,Bradley Baker,Bradley,Baker,Assistant Professor,"School of Sport, Tourism and Hospitality Management",Other,Temple University,,Assistant
55879597300,Gurdip Bakshi,Gurdip,Bakshi,Marvin Wachman Professor,Finance,Finance,Temple University,,Professor
55367298000,Xiaohui Gao Bakshi,Xiaohui,Bakshi,Research Associate Professor,Finance,Finance,Temple University,,Associate
6506539775,Steven Balsam,Steven,Balsam,Professor | Chair | Merves Senior Research Fellow,Accounting,Accounting,Temple University,,Professor
7403656354,Sudipta Basu,Sudipta,Basu,"Professor | Stanley Merves Chair in Accounting, Information Technology and Management",Accounting,Accounting,Temple University,,Professor
56432499400,Konstantin Bauman,Konstantin,Bauman,Associate Professor,Management Information Systems,Information Systems,Temple University,,Associate
59160202900,Ofra Bazel - Shoham,Ofra,Shoham,Research Associate Professor,Finance,Finance,Temple University,,Associate
,Karine Blanc,Karine,Blanc,Adjunct Instructor,Finance,Finance,Temple University,,Adjunct
36018403000,Gary Blau,Gary,Blau,Professor | Senior Research Fellow,Management,Management Organizations (Org. Behavior),Temple University,,Professor
57201730413,Misty P. Blessley,Misty,Blessley,Associate Professor of Instruction,"Statistics, Operations, and Data Science","Business Analytics, Decision Science and Stats",Temple University,,Teaching Professor
,Eric Brunner,Eric,Brunner,Adjunct Assistant Professor,,Other,Temple University,,Adjunct
57217026595,Lauren Burns,Lauren,Burns,Associate Professor of Instruction | Chair,"Statistics, Operations, and Data Science","Business Analytics, Decision Science and Stats",Temple University,,Teaching Professor
55388916500,Dmitri Byzalov,Dmitri,Byzalov,Associate Professor | Merves Research Fellow,Accounting,Accounting,Temple University,,Associate
22956945800,Debra Casey,Debra,Casey,Associate Professor of Instruction | Deputy Chair,Management,Management Organizations (Org. Behavior),Temple University,,Teaching Professor
57225373801,Rajeswararao Chaganti,Rajeswararao,Chaganti,Professor Emeritus,Strategic Management,Strategy,Temple University,,Emeritus
57193201832,Yiwei Chen,Yiwei,Chen,Associate Professor,"Statistics, Operations, and Data Science","Business Analytics, Decision Science and Stats",Temple University,,Associate
36172573700,Pallavi Chitturi,Pallavi,Chitturi,Research Professor,"Statistics, Operations, and Data Science","Business Analytics, Decision Science and Stats",Temple University,,Professor
,Teresa Gill Cirillo,Teresa,Cirillo,Assistant Professor of Practice,Marketing,Marketing,Temple University,,Professor of Practice
,Jeffrey Scott Conradi,Jeffrey,Conradi,Adjunct Instructor,,Other,Temple University,,Adjunct
,Mary Conran,Mary,Conran,Professor of Marketing,Marketing,Marketing,Temple University,,Professor
