scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
6603325074,Ronny Aboudi,Ronny,Aboudi,"Assoc. Professor, Management Science",Management Science,Production and Operations,University of Miami,,Associate
,Todd Adams,Todd,Adams,"Lecturer, Finance",Finance,Finance,University of Miami,,Lecturer
,Amy Agramonte,Amy,Agramonte,"Lecturer, Marketing",Marketing,Marketing,University of Miami,,Lecturer
23048575500,Stefania Albanesi,Stefania,Albanesi,"Philip K. Robins Endowed Chair in Economics, Economics",Economics,Business Econ and Policy,University of Miami,,Professor
,"Alexandros Platon, Alexandrakis, ESQ",Alexandros,ESQ,"Senior Lecturer, Business Law",Business Law,Business Law,University of Miami,,Senior Lecturer
,Christopher P. Allen,Christopher,Allen,"Senior Lecturer, Management",Management,Management Organizations (Org. Behavior),University of Miami,,Senior Lecturer
56707674400,Valeria Alterman,Valeria,Alterman,"Asst. Professor, Management",Management,Management Organizations (Org. Behavior),University of Miami,,Assistant
,Susana Alvarez,Susana,Alvarez,"Asst. Professor Prof. Practice, Management",Management,Management Organizations (Org. Behavior),University of Miami,,Professor of Practice
,Susan Amat,Susan,Amat,"Assoc. Professor Prof Practice, Management",Management,Management Organizations (Org. Behavior),University of Miami,,Professor of Practice
6602612673,David Andolfatto,David,Andolfatto,"Professor, Economics<br/>Department Chair, Economics",Economics,Business Econ and Policy,University of Miami,,Professor
24167624100,Sandro C. Andrade,Sandro,Andrade,"Assoc. Professor, Finance",Finance,Finance,University of Miami,,Associate
,Romain David Angeletti,Romain,Angeletti,"Lecturer, Marketing",Marketing,Marketing,University of Miami,,Lecturer
60128717400,Joseph Avery,Joseph,Avery,"Asst. Professor, Business Law",Business Law,Business Law,University of Miami,,Assistant
,Zahra Azadi,Zahra,Azadi,"Assoc. Professor Prof Practice, Management",Management,Management Organizations (Org. Behavior),University of Miami,,Professor of Practice
,Alex Michael Azar,Alex,Azar,"Adjunct Professor, Health Management and Policy<br/>Senior Executive-in-Residence, Health Management and Policy",Health Management and Policy,Healthcare,University of Miami,,Adjunct
,Andrea Carolina Barreiro,Andrea,Barreiro,"Lecturer, Accounting",Accounting,Accounting,University of Miami,,Lecturer
7004482671,W Brian Barrett,W,Barrett,"Assoc. Professor, Finance",Finance,Finance,University of Miami,,Associate
,Luis Alejandro Bazan-Vega,Luis,Bazan-Vega,"Lecturer, Management Science",Management Science,Production and Operations,University of Miami,,Lecturer
,Jamie King Belinne,Jamie,Belinne,"Assoc. Professor Prof Practice, Management<br/>Associate Dean, Career &amp; Industry Engagement",Management,Management Organizations (Org. Behavior),University of Miami,,Professor of Practice
,Laetitia Blanchard Marzouka,Laetitia,Marzouka,"Lecturer, Accounting",Accounting,Accounting,University of Miami,,Lecturer
57205495709,Khrystyna Bochkay,Khrystyna,Bochkay,"Associate Professor, Accounting",Accounting,Accounting,University of Miami,,Associate
,William T Bolton,William,Bolton,"Lecturer, Marketing",Marketing,Marketing,University of Miami,,Lecturer
,Steven C Bourassa,Steven,Bourassa,"Lecturer, Finance",Finance,Finance,University of Miami,,Lecturer
58095947000,Jeff Bourgeois,Jeff,Bourgeois,"Senior Lecturer, Management",Management,Management Organizations (Org. Behavior),University of Miami,,Senior Lecturer
,Sarah Bradley,Sarah,Bradley,"Lecturer, Finance",Finance,Finance,University of Miami,,Lecturer
57216564803,Maria Dolores Brito Rhor,Maria,Rhor,"Lecturer, Marketing",Marketing,Marketing,University of Miami,,Lecturer
56235542200,Timothy Russell Burch,Timothy,Burch,"Assoc. Professor, Finance",Finance,Finance,University of Miami,,Associate
,"Trinidad , Callava, Ph.D.",Trinidad,Ph.D.,"Lecturer, Marketing",Marketing,Marketing,University of Miami,,Lecturer
,James Carenza,James,Carenza,"Lecturer, Business Law",Business Law,Business Law,University of Miami,,Lecturer
,Pedro Carrasco,Pedro,Carrasco,"Lecturer, Business Technology",Business Technology,Information Systems,University of Miami,,Lecturer
23994886900,Anita Cava,Anita,Cava,"Professor Emeritus, Business Law",Business Law,Business Law,University of Miami,,Emeritus
,Stephen Cerrone,Stephen,Cerrone,"Assoc. Professor Prof Practice, Management",Management,Management Organizations (Org. Behavior),University of Miami,,Professor of Practice
7004753867,Indraneel Chakraborty,Indraneel,Chakraborty,"Professor, Finance<br/>Department Chair, Finance",Finance,Finance,University of Miami,,Professor
,Fanglin Chen,Fanglin,Chen,"Asst. Professor, Marketing",Marketing,Marketing,University of Miami,,Assistant
55830203300,Zoey Chen,Zoey,Chen,"Associate Professor, Marketing",Marketing,Marketing,University of Miami,,Associate
18633412500,Vidhi Chhaochharia,Vidhi,Chhaochharia,"Assoc. Professor, Finance",Finance,Finance,University of Miami,,Associate
,Yakshup Chopra,Yakshup,Chopra,"Asst. Professor, Finance",Finance,Finance,University of Miami,,Assistant
13406544300,Chei Hwee Chua,Chei,Chua,"Assoc. Professor Prof Practice, Management<br/>Director of Master In International Business (MIB) Program",Management,Management Organizations (Org. Behavior),University of Miami,,Professor of Practice
,Wendy Ivonne Chun,Wendy,Chun,"Lecturer, Business Technology<br/>Project Management Course Lead, Business Technology<br/>Director, BTE UOnline",Business Technology,Information Systems,University of Miami,,Lecturer
56896174200,Roman Chychyla,Roman,Chychyla,"Associate Professor, Accounting",Accounting,Accounting,University of Miami,,Associate
55209357100,Michael B Connolly,Michael,Connolly,"Professor, Economics",Economics,Business Econ and Policy,University of Miami,,Professor
7403318498,Cecily D Cooper,Cecily,Cooper,"Professor, Management<br/>Ph.D. Program Coordinator, Organizational Behavior",Management,Management Organizations (Org. Behavior),University of Miami,,Professor
57219165866,Jason D Damm,Jason,Damm,"Asst. Professor Prof. Practice, Finance",Finance,Finance,University of Miami,,Professor of Practice
12779535700,Marie T Dasborough,Marie,Dasborough,"Professor, Management<br/>Academic Director, Master of Science in Leadership Program",Management,Management Organizations (Org. Behavior),University of Miami,,Professor
55453591600,Emmanuel De George,Emmanuel,George,"Associate Professor, Accounting",Accounting,Accounting,University of Miami,,Associate
,Dolores de Goytisolo,Dolores,Goytisolo,"Lecturer, Finance",Finance,Finance,University of Miami,,Lecturer
54954157200,Alissa Del Riego,Alissa,Riego,"Asst. Professor, Business Law",Business Law,Business Law,University of Miami,,Assistant
34867941200,Stefanos Delikouras,Stefanos,Delikouras,"Assoc. Professor, Finance",Finance,Finance,University of Miami,,Associate
,Shannon DeRouselle,Shannon,DeRouselle,"Senior Lecturer, Business Law",Business Law,Business Law,University of Miami,,Senior Lecturer
,Devang Desai,Devang,Desai,"Lecturer, Business Law",Business Law,Business Law,University of Miami,,Lecturer
23466550400,Angelika Dimoka,Angelika,Dimoka,"Professor, Business Technology<br/>Director, Executive Doctorate in Business Administration",Business Technology,Information Systems,University of Miami,,Professor
