name,first_name,last_name,original_title,department,area,university,email,rank
Jonathan David Beekman,Jonathan,Beekman,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Juliane Begenau,Juliane,Begenau,"Associate Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Associate
Sven A. Beiker,Sven,Beiker,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Jonathan Bendor (1950–2025),Jonathan,(1950–2025),"Professor Emeritus,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Emeritus
Lanier Benkard,Lanier,Benkard,"Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Jonathan B. Berk,Jonathan,Berk,"Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
Eric Bettinger,Eric,Bettinger,"Professor (by courtesy),Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Anne Beyer,Anne,Beyer,"Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Professor
Kostas Bimpikis,Kostas,Bimpikis,"Professor,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Professor
Michael Blank,Michael,Blank,"Assistant Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Assistant
Nicholas A. Bloom,Nicholas,Bloom,"Professor (by courtesy),Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Charles P. Bonini (1933–2025),Charles,(1933–2025),"Professor Emeritus,Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Emeritus
David L. Bradford,David,Bradford,Senior Lecturer Emeritus,,,Stanford University (Graduate School of Business),,Emeritus
David W. Brady,David,Brady,"Professor Emeritus,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Emeritus
Scott Brady,Scott,Brady,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Paul Brest,Paul,Brest,"Professor and Dean Emeritus,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Emeritus
Melissa Jones Briggs,Melissa,Briggs,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Michael Brune,Michael,Brune,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Erik Brynjolfsson,Erik,Brynjolfsson,"Professor (by courtesy),Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Professor
Greg Buchak,Greg,Buchak,"Associate Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Associate
Jeremy I. Bulow,Jeremy,Bulow,"Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Robert A. Burgelman,Robert,Burgelman,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Kimberly Caldbeck,Kimberly,Caldbeck,"Lecturer,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Lecturer
Steven Callander,Steven,Callander,"Professor,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Modibo Khane Camara,Modibo,Camara,"Assistant Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Assistant
Brandice Canes-Wrone,Brandice,Canes-Wrone,"Professor (by courtesy),Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Dikla Carmel-Hurwitz,Dikla,Carmel-Hurwitz,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Glenn R. Carroll,Glenn,Carroll,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Katherine Casey,Katherine,Casey,"Professor,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Professor
Safra A. Catz,Safra,Catz,"Lecturer,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Lecturer
Jeff Chambers,Jeff,Chambers,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Eric T. Chen,Eric,Chen,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Robert Chess,Robert,Chess,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Leslie Chin,Leslie,Chin,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Jung Ho Choi,Jung,Choi,"Assistant Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Assistant
April Ann Chou,April,Chou,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Steve Ciesinski,Steve,Ciesinski,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Julien Clement,Julien,Clement,"Assistant Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Assistant
John H. Cochrane,John,Cochrane,"Professor (by courtesy),Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
George W. Cogan,George,Cogan,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Geoffrey Lawrence Cohen,Geoffrey,Cohen,"Professor (by courtesy),Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Sara Constantino,Sara,Constantino,"Assistant Professor (by courtesy),Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Assistant
Antonio Coppola,Antonio,Coppola,"Assistant Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Assistant
Andrea Corney,Andrea,Corney,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Shelley J. Correll,Shelley,Correll,"Professor (by courtesy),Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Jonathan Coslet,Jonathan,Coslet,"Lecturer,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Lecturer
Stuart Coulson,Stuart,Coulson,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Neha Dalal,Neha,Dalal,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Steve Davis,Steve,Davis,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Tim de Silva,Tim,Silva,"Assistant Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Assistant
Dipanjan Deb,Dipanjan,Deb,"Lecturer,Political Economy",Political Economy,Business Econ and Policy,Stanford University (Graduate School of Business),,Lecturer
Ed deHaan,Ed,deHaan,"Professor,Accounting",Accounting,Accounting,Stanford University (Graduate School of Business),,Professor
David F. Demarest,David,Demarest,"Lecturer,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Lecturer
Peter M. DeMarzo,Peter,DeMarzo,"Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
Joseph DeSimone,Joseph,DeSimone,"Professor (by courtesy),Operations, Information & Technology","Operations, Information and Technology",Production and Operations,Stanford University (Graduate School of Business),,Professor
Tony Detter,Tony,Detter,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Mitesh Dhruv,Mitesh,Dhruv,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Sebastian Di Tella,Sebastian,Tella,"Associate Professor,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Associate
Connor Diemand-Yauman,Connor,Diemand-Yauman,"Lecturer,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Lecturer
Yu Ding,Yu,Ding,"Assistant Professor,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Assistant
Collins Dobbs,Collins,Dobbs,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
David M. Dodson,David,Dodson,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Kwabena Baah Donkor,Kwabena,Donkor,"Assistant Professor,Marketing",Marketing,Marketing,Stanford University (Graduate School of Business),,Assistant
Kunal Doshi,Kunal,Doshi,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Darrell Duffie,Darrell,Duffie,"Professor,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Professor
Jennifer Dulski,Jennifer,Dulski,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Jennifer Eberhardt,Jennifer,Eberhardt,"Professor,Organizational Behavior",Organizational Behavior,Management Organizations (Organizational Behavior),Stanford University (Graduate School of Business),,Professor
Jim Ellis,Jim,Ellis,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Alain C. Enthoven,Alain,Enthoven,"Professor Emeritus,Economics",Economics,Business Econ and Policy,Stanford University (Graduate School of Business),,Emeritus
Jeff Epstein,Jeff,Epstein,Lecturer,,,Stanford University (Graduate School of Business),,Lecturer
Tariq Fancy,Tariq,Fancy,"Lecturer,Finance",Finance,Finance,Stanford University (Graduate School of Business),,Lecturer
