scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
,Tamara Barringer,Tamara,Barringer,Clinical Professor of Legal Studies,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Clinical Professor
6603387885,Robert Bushman,Robert,Bushman,The Forensic Accounting Distinguished Professor,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Professor
58154459800,Daniela De la Parra,Daniela,Parra,Assistant Professor of Accounting,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Assistant
,Lynn Dikolli,Lynn,Dikolli,Clinical Assistant Professor of Accounting,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Clinical Professor
7402460260,Mary Margaret Frank,Mary,Frank,Dean and  Alumni Distinguished Professor of Accounting,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Professor
56194898700,John Gallemore,John,Gallemore,Associate Professor of Accounting,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Associate
57195741898,Stephen Glaeser,Stephen,Glaeser,Associate Professor of Accounting and Associate Dean of the PhD Program,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Associate
7102820192,John Hand,John,Hand,Robert March and Mildred Borden Hanes Distinguished Professor of Accounting,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Professor
57207702899,Bradley Hendricks,Bradley,Hendricks,Associate Professor of Accounting,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Associate
35272099300,Jeff Hoopes,Jeff,Hoopes,Professor and Harold Q. Langenderfer Scholar of Accounting and Thomas Willis Lambeth Distinguished Chair in Public Policy,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Professor
,Margot Howard,Margot,Howard,Clinical Assistant Professor of Accounting,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Clinical Professor
,Courtney Knoll,Courtney,Knoll,Clinical Professor of Accounting and Associate Dean of the Master of Accounting Program and the Master of Science in Management Program,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Clinical Professor
56553304000,Eva Labro,Eva,Labro,The Michael W. Haley Distinguished Professor of Accounting and Area Chair of Accounting,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Professor
7003762923,Wayne Landsman,Wayne,Landsman,KPMG Distinguished Professor of Accounting,Accounting,Accounting,University of North Carolina at Chapel Hill (Kenan-Flagler Business School),,Professor
