name,first_name,last_name,original_title,department,area,university,email,rank
Kevin Chen,Kevin,Chen,Assistant Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Assistant
Qi Chen,Qi,Chen,L. Palmer Fox Distinguished Professorship of Business Administration,Accounting,Accounting,Duke University (Fuqua School of Business),,Professor
Scott Dyreng,Scott,Dyreng,Senior Associate Dean for Innovation and Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Professor
Henry Eyring,Henry,Eyring,Assistant Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Assistant
Elia Ferracuti,Elia,Ferracuti,Associate Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Associate
Xu Jiang,Xu,Jiang,Associate Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Associate
William J. Mayew,William,Mayew,Martin L. Black Jr. Distinguished Professor of Business Administration,Accounting,Accounting,Duke University (Fuqua School of Business),,Professor
Katherine Schipper,Katherine,Schipper,Director of Graduate Studies and Thomas F. Keller Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Professor
Rahul Vashishtha,Rahul,Vashishtha,Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Professor
Mohan Venkatachalam,Mohan,Venkatachalam,R.J. Reynolds Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Professor
Mengjie Xu,Mengjie,Xu,Assistant Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Assistant
Hao Xue,Hao,Xue,Associate Professor,Accounting,Accounting,Duke University (Fuqua School of Business),,Associate
Bob Ashton,Bob,Ashton,L. Palmer Fox Professor Emeritus,Accounting,Accounting,Duke University (Fuqua School of Business),,Emeritus
Jennifer Francis,Jennifer,Francis,Robert L. Dickens Professor Emeritus,Accounting,Accounting,Duke University (Fuqua School of Business),,Emeritus
Thomas Keller,Thomas,Keller,Dean Emeritus and R.J. Reynolds Professor Emeritus,Accounting,Accounting,Duke University (Fuqua School of Business),,Emeritus
Alessandro Arlotto,Alessandro,Arlotto,Associate Professor,Decision Sciences,"Business Analytics, Decision Science and Stats",Duke University (Fuqua School of Business),,Associate
Alexandre Belloni,Alexandre,Belloni,Westgate Distinguished Professor of Decision Sciences,Decision Sciences,"Business Analytics, Decision Science and Stats",Duke University (Fuqua School of Business),,Professor
David Brown,David,Brown,Snow Family Business Professor,Decision Sciences,"Business Analytics, Decision Science and Stats",Duke University (Fuqua School of Business),,Professor
