scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
57869884400,Brian K. Baik,Brian,Baik,Assistant Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Assistant
57205755800,Dennis Campbell,Dennis,Campbell,"Dwight P. Robinson, Jr. Professor of Business Administration",Accounting and Management,Accounting,Harvard University (Harvard Business School),,Professor
16315339300,Aiyesha Dey,Aiyesha,Dey,James R. Williston Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Professor
,Trevor Fetter,Trevor,Fetter,Senior LecturerHenry B. Arthur Fellow,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Senior Lecturer
57209230260,Susanna Gallani,Susanna,Gallani,Tai Family Associate Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Associate
57192675919,Jonas Heese,Jonas,Heese,Ross Graham Walker Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Professor
57218630331,Jung Koo Kang,Jung,Kang,Assistant Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Assistant
,Aliya Korganbekova,Aliya,Korganbekova,Assistant Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Assistant
58820559500,Shirley Lu,Shirley,Lu,Assistant Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Assistant
56854815700,V.G. Narayanan,V.G.,Narayanan,"Thomas D. Casserly, Jr. Professor of Business AdministrationSenior Associate Dean, Executive Education; Senior Associate Dean, HBS Online",Accounting and Management,Accounting,Harvard University (Harvard Business School),,Professor
57194078382,Joseph Pacelli,Joseph,Pacelli,Gerald Schuster Associate Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Associate
6602444864,Krishna G. Palepu,Krishna,Palepu,"Baker Foundation ProfessorRoss Graham Walker Professor of Business Administration, EmeritusSenior Associate Dean, Business in Global Society","Accounting and Management, General Management","Accounting, Management Organizations (Organizational Behavior)",Harvard University (Harvard Business School),,Emeritus
56764559100,Ethan C. Rouen,Ethan,Rouen,Terrie F. and Bradley M. Bloom Associate Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Associate
16032546100,Tatiana Sandino,Tatiana,Sandino,Arthur Lowes Dickinson Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Professor
26768301000,George Serafeim,George,Serafeim,Charles M. Williams Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Professor
,Robert Simons,Robert,Simons,"Baker Foundation ProfessorCharles M. Williams Professor of Business Administration, Emeritus",Accounting and Management,Accounting,Harvard University (Harvard Business School),,Emeritus
55431292800,Suraj Srinivasan,Suraj,Srinivasan,"Philip J. Stomberg Professor of Business AdministrationChair, MBA Elective Curriculum",Accounting and Management,Accounting,Harvard University (Harvard Business School),,Professor
55621487600,Charles C.Y. Wang,Charles,Wang,Tandon Family Professor of Business Administration,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Professor
57204075866,Yuan Zou,Yuan,Zou,Assistant ProfessorHellman Faculty Fellow,Accounting and Management,Accounting,Harvard University (Harvard Business School),,Assistant
57204407745,Rawi E. Abdelal,Rawi,Abdelal,"Herbert F. Johnson Professor of International ManagementEmma Bloomberg Co-chair, Bloomberg Harvard City Leadership Initiative","Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
55523953200,Alberto F. Cavallo,Alberto,Cavallo,Thomas S. Murphy Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
6603558724,Rafael M. Di Tella,Rafael,Tella,William Ziegler Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
12790203300,Caroline M. Elkins,Caroline,Elkins,Thomas Henry Carroll/Ford Foundation Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
57189948781,Mattias E. Fibiger,Mattias,Fibiger,William A. Sahlman Associate Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Associate
55425011700,Jeremy S. Friedman,Jeremy,Friedman,Marvin Bower Associate Professor,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Associate
57203641959,Natalia Garbiras-Diaz,Natalia,Garbiras-Diaz,Assistant Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Assistant
35484188700,Reshmaan N. Hussam,Reshmaan,Hussam,MBA Class of 1958 Associate Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Associate
57205162265,Laura V. Jakli,Laura,Jakli,Assistant Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Assistant
43261748700,Vincent Pons,Vincent,Pons,Byron Wien Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
8561403300,Sophus A. Reinert,Sophus,Reinert,T.J. Dermot Dunphy Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
22958260600,Forest L. Reinhardt,Forest,Reinhardt,John D. Black ProfessorSenior Associate Dean for Faculty Promotions and Tenure,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
59455673300,Paula C. Rettl,Paula,Rettl,Assistant Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Assistant
55969936400,Meg Rithmire,Meg,Rithmire,James E. Robison Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
,Charlotte L. Robertson,Charlotte,Robertson,Assistant ProfessorHellman Faculty Fellow,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Assistant
,Dante Roscini,Dante,Roscini,MBA Class of 1952 Professor of Management Practice of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
,Awa Ambra Seck,Awa,Seck,Assistant Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Assistant
57216694319,Marco E. Tabellini,Marco,Tabellini,Assistant Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Assistant
37069902200,Gunnar Trumbull,Gunnar,Trumbull,Philip Caldwell Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
55532546500,Marlous van Waijenburg,Marlous,Waijenburg,Assistant Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Assistant
14055193200,Matthew C. Weinzierl,Matthew,Weinzierl,Joseph and Jacqueline Elbling Professor of Business AdministrationSenior Associate Dean for Faculty Development and Research,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Professor
59840710500,Jaya Y. Wen,Jaya,Wen,Assistant Professor of Business Administration,"Business, Government and the International Economy",Business Econ and Policy,Harvard University (Harvard Business School),,Assistant
,Ajay K. Agrawal,Ajay,Agrawal,Visiting Professor of Business Administration,Entrepreneurial Management,Entrepreneurship,Harvard University (Harvard Business School),,Visiting
55555136500,Anke Becker,Anke,Becker,Assistant Professor of Business Administration,Entrepreneurial Management,Entrepreneurship,Harvard University (Harvard Business School),,Assistant
,Jeffrey J. Bussgang,Jeffrey,Bussgang,Senior Lecturer of Business Administration,Entrepreneurial Management,Entrepreneurship,Harvard University (Harvard Business School),,Senior Lecturer
,Tom Clay,Tom,Clay,Senior Lecturer of Business Administration,Entrepreneurial Management,Entrepreneurship,Harvard University (Harvard Business School),,Senior Lecturer
36195543200,Lauren H. Cohen,Lauren,Cohen,L.E. Simmons Professor of Business Administration,"Entrepreneurial Management, Finance","Entrepreneurship, Finance",Harvard University (Harvard Business School),,Professor
