name,first_name,last_name,original_title,department,area,university,email,rank
Li Azinovic-Yang,Li,Azinovic-Yang,Assistant Professor of Accounting and IBM Faculty Fellow,Accounting,Accounting,University of Chicago (Booth School of Business),,Assistant
Yoel Beniluz,Yoel,Beniluz,Adjunct Assistant Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Adjunct
Philip G. Berger,Philip,Berger,Wallman Family Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
Hans B. Christensen,Hans,Christensen,Chookaszian Family Professor of Accounting and David G. Booth Faculty Fellow,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
Anna Costello,Anna,Costello,"Jeffrey Breakenridge Keller Professor of Accounting and Applied AI, and John E. Jeuck Faculty Fellow","Accounting, Applied AI","Accounting, Information Systems",University of Chicago (Booth School of Business),,Professor
Merle Erickson,Merle,Erickson,Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
Marco Errico,Marco,Errico,Visiting Assistant Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Visiting
Joao Granja,Joao,Granja,Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
John Hand,John,Hand,Visiting Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Visiting
J. Douglas Hanna,J.,Hanna,Visiting Associate Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Visiting
Wendy Heltzer,Wendy,Heltzer,Clinical Associate Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Clinical Professor
Anya Kleymenova,Anya,Kleymenova,Adjunct Associate Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Adjunct
Anthony Le,Anthony,Le,Assistant Professor of Accounting and James S. Kemper Faculty Scholar,Accounting,Accounting,University of Chicago (Booth School of Business),,Assistant
Christian Leuz,Christian,Leuz,Charles F. Pohl Distinguished Service Professor of Accounting and Finance,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
Bradford Levy,Bradford,Levy,Assistant Professor of Accounting and Applied AI and Asness Junior Faculty Fellow,"Accounting, Applied AI","Accounting, Information Systems",University of Chicago (Booth School of Business),,Assistant
Charles McClure,Charles,McClure,Associate Professor of Accounting and Willard Graham Faculty Scholar,Accounting,Accounting,University of Chicago (Booth School of Business),,Associate
Mihir Mehta,Mihir,Mehta,Visiting Assistant Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Visiting
Michael Minnis,Michael,Minnis,Deputy Dean for Faculty and Fuji Bank and Heller Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
Maximilian Muhn,Maximilian,Muhn,Associate Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Associate
Valeri Nikolaev,Valeri,Nikolaev,James H. Lorie Professor of Accounting,Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
Madhav Rajan,Madhav,Rajan,"Dean and George Shultz Professor of Accounting, Chicago Booth; Chief Global Strategist, University of Chicago",Accounting,Accounting,University of Chicago (Booth School of Business),,Professor
