scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
7003483273,Daron Acemoglu,Daron,Acemoglu,Institute Professor,,,Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor
,Alessandro Acquisti,Alessandro,Acquisti,"T Wilson (1953) Professor in ManagementProfessor, Information Technology",Information Technology,Information Systems,Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor
,Matias B. Adam,Matias,Adam,"Lecturer, Global Economics and Management",Global Economics and Management,Business Econ and Policy,Massachusetts Institute of Technology (MIT Sloan School of Management),,Lecturer
,Angelique Nadine Adams,Angelique,Adams,"Lecturer, Work and Organization Studies",Work and Organization Studies,Management Organizations (Organizational Behavior),Massachusetts Institute of Technology (MIT Sloan School of Management),,Lecturer
,Bridget Scott Akinc,Bridget,Akinc,"Senior Lecturer, Work and Organization Studies",Work and Organization Studies,Management Organizations (Organizational Behavior),Massachusetts Institute of Technology (MIT Sloan School of Management),,Senior Lecturer
,John L. Akula,John,Akula,"Senior Lecturer, Law",Law,Business Law,Massachusetts Institute of Technology (MIT Sloan School of Management),,Senior Lecturer
55919105400,Abdullah Almaatouq,Abdullah,Almaatouq,"Douglas Drane Career Development Associate Professor in Information Technology and ManagementAssociate Professor, Information Technology",Information Technology,Information Systems,Massachusetts Institute of Technology (MIT Sloan School of Management),,Associate
,May Mousa A Almousa,May,Almousa,Postdoctoral Fellow,,,Massachusetts Institute of Technology (MIT Sloan School of Management),,Other
7003625866,Deborah L. Ancona,Deborah,Ancona,"Seley Distinguished Professor of ManagementProfessor, Organization Studies",Work and Organization Studies,Management Organizations (Organizational Behavior),Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor
57210634878,Charles Angelucci,Charles,Angelucci,"Class of 1957 Career Development Assistant ProfessorAssistant Professor, Applied Economics",Applied Economics,Business Econ and Policy,Massachusetts Institute of Technology (MIT Sloan School of Management),,Assistant
,Juan Antolin-Diaz,Juan,Antolin-Diaz,"Assistant Professor, Finance",Finance,Finance,Massachusetts Institute of Technology (MIT Sloan School of Management),,Assistant
57201251030,Ali Aouad,Ali,Aouad,"Sloan School Career Development Assistant ProfessorAssistant Professor, Operations Management",Operations Management,Production and Operations,Massachusetts Institute of Technology (MIT Sloan School of Management),,Assistant
26027709600,Sinan Aral,Sinan,Aral,"David Austin Professor of ManagementProfessor, Information Technology and Marketing",Information Technology,Information Systems,Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor
,Kirk Arnold,Kirk,Arnold,"Senior Lecturer, Technological Innovation, Entrepreneurship, and Strategic Management","Technological Innovation, Entrepreneurship, and Strategic Management",Strategy,Massachusetts Institute of Technology (MIT Sloan School of Management),,Senior Lecturer
7006210411,Nicholas A. Ashford,Nicholas,Ashford,"Professor of Technology & Policy Director, Technology & Law Program",Law,Business Law,Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor
9245201100,Paul Asquith,Paul,Asquith,"Gordon Y Billard Professor of FinanceProfessor, Finance",Finance,Finance,Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor
,Bill Aulet,Bill,Aulet,"Ethernet Inventors Professor of the Practice at the MIT Sloan School of ManagementManaging Director, Martin Trust Center for MIT Entrepreneurship","Technological Innovation, Entrepreneurship, and Strategic Management",Strategy,Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor of Practice
14065735100,Pierre Azoulay,Pierre,Azoulay,"International Programs Professor of ManagementProfessor, Technological Innovation, Entrepreneurship, and Strategic Management","Technological Innovation, Entrepreneurship, and Strategic Management",Strategy,Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor
,Lotte Bailyn,Lotte,Bailyn,"T Wilson (1953) Professor of Management, EmeritaProfessor, Work and Organization Studies, Emerita",Work and Organization Studies,Management Organizations (Organizational Behavior),Massachusetts Institute of Technology (MIT Sloan School of Management),,Emeritus
57209398499,Michiel Anton Bakker,Michiel,Bakker,"Mitsui Career Development Assistant Professor in Contemporary TechnologyAssistant Professor, Information Technology",Information Technology,Information Systems,Massachusetts Institute of Technology (MIT Sloan School of Management),,Assistant
7203071452,Arnold I. Barnett,Arnold,Barnett,George Eastman Professor of Management ScienceProfessor of Statistics,Operations Research and Statistics,"Business Analytics, Decision Science and Stats",Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor
7006475155,Cynthia Barnhart,Cynthia,Barnhart,"Abraham J. Siegel Professor of ManagementProfessor, Operations Research",Operations Research and Statistics,"Business Analytics, Decision Science and Stats",Massachusetts Institute of Technology (MIT Sloan School of Management),,Professor
