scopus_id,name,first_name,last_name,original_title,department,area,university,email,rank
56269784800,Henry Friedman,Henry,Friedman,Professor of Accounting; Faculty Vice Chair of Curriculum and Teaching,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Professor
6506830445,Carla Hayn,Carla,Hayn,,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Other
59629692300,Mark Kim,Mark,Kim,Assistant Professor of Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Assistant
57195726326,Beatrice Michaeli,Beatrice,Michaeli,Associate Professor of Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Associate
,Terrence Shi,Terrence,Shi,Assistant Professor of Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Assistant
7102202035,Siew Hong Teoh,Siew,Teoh,Lee and Seymour Graff Endowed Professorship; Professor of Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Professor
,Gonzalo Freixes,Gonzalo,Freixes,Adjunct Professor of Accounting; Academic Director of GEMBA program,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Adjunct
,Eric Sussman,Eric,Sussman,Adjunct Professor of Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Adjunct
,Tamara Berges,Tamara,Berges,Continuing Lecturer in Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Lecturer
,Casey Borman,Casey,Borman,"Continuing Lecturer, Accounting",Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Lecturer
,Maria Boss,Maria,Boss,Continuing Lecturer of Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Lecturer
,David DeVito,David,DeVito,Lecturer of Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Lecturer
,Julie Ann Gardner,Julie,Gardner,"Senior Continuing Lecturer, Accounting",Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Lecturer
,Jane Guerin,Jane,Guerin,"Senior Continuing Lecturer, Accounting",Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Lecturer
,Gordon Klein,Gordon,Klein,Continuing Lecturer in Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Lecturer
,Ming Lu,Ming,Lu,"Continuing Lecturer, Accounting",Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Lecturer
,David Ravetch,David,Ravetch,Senior Continuing Lecturer in Accounting,Accounting,Accounting,University of California at Los Angeles (Anderson School of Management),,Lecturer
57207486575,Daniel J. Benjamin,Daniel,Benjamin,Professor of Behavioral Economics and Genoeconomics,Behavioral Decision Making,Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Professor
7005405787,Eugene M. Caruso,Eugene,Caruso,,"Behavioral Decision Making, Management & Organizations",Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Other
57203306182,M. Keith Chen,M.,Chen,Bing (’86) and Alice Liu Yang Endowed Term Chair in Management and Innovation; Professor of Behavioral Economics and Strategy,"Behavioral Decision Making, Strategy","Management Organizations (Org. Behavior), Strategy",University of California at Los Angeles (Anderson School of Management),,Professor
57200137409,Hanne Collins,Hanne,Collins,Assistant Professor of Management and Organizations,"Behavioral Decision Making, Management & Organizations",Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Assistant
56381897900,Hengchen Dai,Hengchen,Dai,Associate Professor of Management and Organizations and Behavioral Decision Making,"Behavioral Decision Making, Management & Organizations",Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Associate
7402165612,Craig Fox,Craig,Fox,Harold Williams Chair and Professor of Management; Behavioral Decision Making Area Chair,"Behavioral Decision Making, Management & Organizations",Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Professor
55774777000,Jana Gallus,Jana,Gallus,Associate Professor of Strategy and Behavioral Decision Making,"Behavioral Decision Making, Strategy","Management Organizations (Org. Behavior), Strategy",University of California at Los Angeles (Anderson School of Management),,Associate
8121553700,Noah Goldstein,Noah,Goldstein,Ho-Su Wu Chair in Management; Department Chair,"Behavioral Decision Making, Management & Organizations",Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Professor
56256140500,Kareem Haggag,Kareem,Haggag,Associate Professor of Behavioral Economics,Behavioral Decision Making,Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Associate
57209574132,Joyce C. He,Joyce,He,Assistant Professor of Management and Organizations,"Behavioral Decision Making, Management & Organizations",Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Assistant
53877524700,Hal Hershfield,Hal,Hershfield,"Professor of Marketing and Behavioral Decision Making, Marketing Area Chair","Behavioral Decision Making, Marketing","Management Organizations (Org. Behavior), Marketing",University of California at Los Angeles (Anderson School of Management),,Professor
55104407100,Ian Larkin,Ian,Larkin,Associate Professor of Strategy; Senior Associate Dean of MBA Programs,"Behavioral Decision Making, Strategy","Management Organizations (Org. Behavior), Strategy",University of California at Los Angeles (Anderson School of Management),,Associate
57190488884,Alicea Lieberman,Alicea,Lieberman,Assistant Professor of Marketing,"Behavioral Decision Making, Marketing","Management Organizations (Org. Behavior), Marketing",University of California at Los Angeles (Anderson School of Management),,Assistant
59408148400,Cassie Mogilner Holmes,Cassie,Holmes,"Professor of Marketing and Behavioral Decision Making, Bud Knapp Marketing Professorship","Behavioral Decision Making, Marketing","Management Organizations (Org. Behavior), Marketing",University of California at Los Angeles (Anderson School of Management),,Professor
57537083800,M. Kathleen Ngangoué,M.,Ngangoué,Assistant Professor of Global Economics and Management,"Behavioral Decision Making, Global Economics & Management","Management Organizations (Org. Behavior), Business Econ and Policy",University of California at Los Angeles (Anderson School of Management),,Assistant
36997372700,Ricardo Perez-Truglia,Ricardo,Perez-Truglia,"Professor of Economics, Justice Elwood Lui Endowed Term Chair in Management","Behavioral Decision Making, Global Economics & Management","Management Organizations (Org. Behavior), Business Econ and Policy",University of California at Los Angeles (Anderson School of Management),,Professor
57024237600,Franklin Shaddy,Franklin,Shaddy,Assistant Professor of Marketing and Behavioral Decision Making,"Behavioral Decision Making, Marketing","Management Organizations (Org. Behavior), Marketing",University of California at Los Angeles (Anderson School of Management),,Assistant
7202144769,Margaret Shih,Margaret,Shih,Interim Dean and Neil Jacoby Chair in Management,"Behavioral Decision Making, Management & Organizations",Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Dean
7201642227,Sanjay Sood,Sanjay,Sood,Professor of Marketing and Behavioral Decision Making,"Behavioral Decision Making, Marketing","Management Organizations (Org. Behavior), Marketing",University of California at Los Angeles (Anderson School of Management),,Professor
36020548900,Stephen Spiller,Stephen,Spiller,,"Behavioral Decision Making, Marketing","Management Organizations (Org. Behavior), Marketing",University of California at Los Angeles (Anderson School of Management),,Other
57193893030,Sherry Jueyu Wu,Sherry,Wu,Assistant Professor of Management and Organizations,"Behavioral Decision Making, Management & Organizations",Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Assistant
55340779400,Shi(shir) Zhang,Shi(shir),Zhang,Associate Professor of Marketing,"Behavioral Decision Making, Marketing","Management Organizations (Org. Behavior), Marketing",University of California at Los Angeles (Anderson School of Management),,Associate
24597737000,Heather Maiirhe Caruso,Heather,Caruso,"Associate Dean, Inclusive Excellence; Faculty Co-Director, Inclusive Ethics Initiative;  Adjunct Associate Professor of Management and Organizations and Behavioral Decision Making","Behavioral Decision Making, Management & Organizations",Management Organizations (Org. Behavior),University of California at Los Angeles (Anderson School of Management),,Adjunct
57207966375,Fernanda Bravo,Fernanda,Bravo,"Associate Professor of Decisions, Operations and Technology Management","Decisions, Operations & Technology Management",Production and Operations,University of California at Los Angeles (Anderson School of Management),,Associate
7004318823,Felipe Caro,Felipe,Caro,"Professor of Decisions, Operations and Technology Management; Susan Wojcicki Chair in Data Science and Innovation; DOTM Area Chair","Decisions, Operations & Technology Management",Production and Operations,University of California at Los Angeles (Anderson School of Management),,Professor
57195149657,Francisco Castro,Francisco,Castro,"Assistant Professor of Decisions, Operations and Technology Management","Decisions, Operations & Technology Management",Production and Operations,University of California at Los Angeles (Anderson School of Management),,Assistant
35986148800,Charles Corbett,Charles,Corbett,Professor of Operations Management and Sustainability; IBM Chair in Management,"Decisions, Operations & Technology Management",Production and Operations,University of California at Los Angeles (Anderson School of Management),,Professor
